game, winner
j10i9k9m7i7j8i11h12g11l6k7h11k6k8k5h10h9j7k4k3i4l4i6i5j5l7h7g8l3, b
j10i9k9m7i7k7i11h12l7j8l6l8m9j6j5k6i5h10g11i8k8h9j7h11h13h8, w
j10i9h10k9h9k10i10k8k11h8g10f10j11k12g8f7j7i8h11i11j13i12j12j14j9, b
j10i9h10j9k9k10i10h7i8h9g9i11e10e7g8g10g7h8f11f9e8g5h6i5d8h5f5c8k5l8h13g12h11j6k7g11k8k6h12h14i6g14i14g13, w
j10i9i10g10h10g9h9h11g8f7e8j13i12j11h7h8i11i14m10f9f10l11k12h12f8l14l12k10i8m12n13j14k14j15j12j16j17k15i13i17h18m13, w
j10i9j8k9j9j7k10i8j11j12i10l10g10h10g8h9h11g12i12f9h13g14l9, b
j10i9j9j11k10l11m10l10m11m9l9i10k12k11j12i11h11i12i13i8, w
j10i9h10h9g10i10g9j11g8g11i11f8h12g13j12k13g7g6g12i12i6k12l13k10k11h13g14l9, w
j10i9j9j8g11h10i11h12k7l8j12j11l10h11h13h7k10m10m12l11k11i13k12l12k13k14k9, b
j10i9h10i11i8i10h9h8f11g10i14h11i12g12f13j11k11k12k8f12g11e11g13e12d12d13i13h13i15i16h14j12j14k14h12k15f10, b
j10i9i10l10k9l8k7k10l9k8h10j9i8l7g10f10h9f11h12h11i11g13k6j7g8j11f8h8g9j12e7, b
j10i9j9j11i8h7k10l11k11l10j8k8g8l8l9j7k12k13h10h8l12h6h5k7i7k6k5j6i5i6g6l6, w
j10i9j8k9k8h8l9j7j9l7j11j12m8k10l8i8n8, b
j10i9h10i11j9i10i8i12i13l11j7j8h7g6h9k6h8h11h6, b
j10i9h10h9g10i10j9j11g8f9i8f8g9g11g6g7h7k10f5, b
j10i9j8j9k9l10h12i11i8k8h9h10j7k6j12i12i10f8f11g10h11g8g9j5f10f12g11i13e11d11d12c13h8, b
j10i9j9i10i8i11l11k10i13j7j11j12l14h7k11h10g9k7i7j8g11l6, w
j10i9i10l10j8j9k9h10m7l8l7i11o7n7h9f8g9f7k7j11i7j7g5h6k6k8i4j5j6h8l6m6m5n4k5j4l4m3n6p8k3, b
j10i9h10i11i8k10j11j8i10j9g10f10h9k12f11e12j7, b
j10i9j9j8g11k7l6l7i7m7n7j6m6l8m9l9k4l5l10i5h4n6o5k8m8k5j5k6k9j7m4m10n11i6, w
j10i9j8i8i11j7g10i10i6m7g13h12j9g12j12j11g8g9k6k12l13h7j6l6g6h6k5g7k7k4k9k8m9l8l10m11k11i13n8, b
j10i9h10i11i10g10h11j9h8h9k9l10f9f11i8g8g12f13d13f12f14h14g9e11g13d11c11g15e15d16c9e12g14c10b9e13e10c15d14e17b14f16d18i13, w
j10i9i10k10j11j9l11k11k9h10k12l13j13i14j12j14h12i11i12g12l12, b
j10i9k9h12m7l8j8i7l10j9i8k8m10k10n8m9p10o9n10o10n12m11o11m13n9n11n7n6p7o7o8l11q6, b
j10i9j8j7i8h8j9j11h7k10g6f5m8f6f9f7f4g8e5h9i10i12h13h10k8l8h11g12l7, b
j10i9j8i8i11i7i6l8j6j9g6h6l11h9k9g9f9j7k6h7h8g7f7k7, w
j10i9h10i11i10g10j9j11h11k8h9h8j8j6g8h12i7l10f7e6g12f13g5h6g7g6h7e7j7, b
j10i9k9h12h10i10m7l8i8k8j8l7j9j7l9j12m9n9m11l10m8m10k10l11j11i12n7, b
j10i9i10k10k8j9k9i8h7h10k7i7i6j7k6k5j6h6l8m7m9n10i5, b
