game, winner
j10i9h10k9j9k10j8j7j12j11k8k13h8i8h11h9i10g12l7, b
j10i9h10h9j9j8g9i11g10i10i12i8i7g8f7h8f8k8, w
j10i9h10h9i10k10k9g10i8l8g9i11h11l7j9g12l9j7h7j12h13i12h12h14k7k8m8m9i6g8g6f5h6f6j6k6i7j8h8f10k5, b
j10i9j9i10i11i8j8j11i6g8h9j6g13h12h8h10f10g11e13h13i12e11i13f11d11e10g12e12h14i15g15j12g14g16f14i14h16i17d12, b
j10i9j9j12i10k10k8l7j8j7k7m8g12h11i8h8k6k5j11k12i12h10h9k13k11i11l14g9, w
j10i9j8i7j9j11i11l8j7j6g9k5l4i5k7i6i8i3i4l6k6j4m7h2, w
j10i9i10j9h9f7h10g10l10k10h12h11i11g13l8k9k12j11j12i12k13l14g9, b
j10i9i10h10g11j9h9j11i8g10f10i11g9h8k10h12k7m10k9k8k12k11l11f9l9l10j12j13i12m9m8l12o7o10n7o6l7m7k6j5l5j7l6l4n4l8m5j8o3, b
j10i9i10k10k8l9m8j9k9l8l11h9l7k7k6j5j8i8n9o10m10o8m11l10m9m12m7, b
j10i9h10k9k10i10i11j9h9l9m9h6h11h8h12h13g13f14k11j11j12k13l10i13n8, b
j10i9i10h10g11g9i11h9f9h11h12g13k9l8k7h7h8f8i13f10j14k15i12i14j12k12j13j11l10k11k10m10k8k6k13l13m11n12l12i15n10, b
j10i9i10j9k9h10k7h12m7l8l7n7i7j7j8l10h6g5k6k8i4j5i6j6i5i8i3, b
j10i9k9l8j8i7j7j9i11l10i6g9k8h5h8l9l11k11h12g13k6k7h9i8h10h11h6h7j6g6l6, b
j10i9j8i8j7j9i7h7g6k9h9h6i10g8k10h10j5h5h4l10j6j4l4k5l7k7k6m8l6m6l5l8l3, b
j10i9i10h10f12h12h9h11j11g8h14j12g13i15k12l13j8i11g9k13l14j13i13j14h16j15j16k14i16i12l15g10, w
j10i9h10k9i10k10h9h7k12j11j9h11g10f10j7i8k7i11g11g8j5l11k11f9e10f8f7h8e8j8, w
j10i9j9j7j12j11i10k8k10h10h11k7j8k6k5i6l9g4h5i8l5h9g10j6h6i5i7l8m9h4, w
j10i9k9m7i7j8k7h10h12i11j12k8i12k12j7h7h8f10f12g12j6k5j11j13l9k10m9l8n9j9o9, b
j10i9k9j8l6h10g11i11j12j11l8g9n6m7m6o6k6j6l7l9k8j9k7k10k5, b
j10i9k9l8j8l10j6j7i7l9l11l6l7k8i6h6i4i5j5k6l4k5k4h7j4h4m4, b
j10i9j9j8i8k10g11j11k7m8l9k9k11h6i7i6k6j7k8m6k4k5h7m7m5m9m10l6j4n8o9o7p6n7p7o8p8p9q10l5, w
j10i9i10j9h10g10g9k9l9i11l11l10i7j7n12i8h9h8k12j11m12l12n13o14m10j13n11n14o12p13k8, b
j10i9j8k9j9j11k10j7i8h7l11m12l8k8l10m10l9l12l7, b
j10i9j9i10j11j12i12j8g11i11h10k10h8i7i8k9l10h6g5h9e9e6f6d8g7f8e5d4f5d5g6h7g8g9g4, b
j10i9j9j12h10j7h7k10h9h8g7h12e7f7g6g9g5g4f6d8h4i3e4e6f5i8d3, b
j10i9k9l8l10i7j8i8i6i11i10k10j9j7l7k8j12j11h11k11l9l11m11n12h7m9g12f13f9g8i12g10h12f12k12, b
j10i9j9j12j7j8h10i10i8m12h7k10h9k6h8h11h6, b
