game, winner
j10i9k9i11i10h10g9j8k7k8l8j6j7m7h7i7g8g11f12h11f11f9g6g7i8h9j9k10f5, b
j10i9j8j7i8l8l10m10k8h8k10k9i10h10j9l7l11m12h7, b
j10i9j9i10i11i8l8k9j11j8i7k7l6h8g8k6k8h9j7h10g11h11h12h7, w
j10i9i10l10j9j8j12j11h10g10i11g9k13l14g12h11h12k9i12f12k12, b
j10i9h10j9g9k10g6i8l11k9l9i7i6i11i10k8k7j8h6h8g8l8, w
j10i9i10k10h10h9k9j9g9i11g10f10g11g8f8f7g13g12e7d6f12e6d5g6f6h7i8h5e8j3i4j5i6j4j2h6h8i5k3g5f5k5, w
j10i9j9j11i11g13j8k9j7j6k6k7i8l5g10h9g8h8h7k10g6f5g9g7g12g11h10f8i10f10h11f13k8, b
j10i9i10g10h9h10j8j11h11g11g12f13k8j9l8m8i8h8k9m7h12i11k6k7j7l5l10m11m10k10l9n11i6, b
j10i9k9j8l6i11k7j6j7i8i10k10i7h7j9l7h10g8h8g10h11g12h13g9g11g6g7i6h6f9e10j5, w
j10i9j8i8j7j9i6i10i11k8l7h11g12k9l9k10h7k11k12k7, w
j10i9j8i8j7j9k9k10l11i11i10i7j6h10i5h7g6g9f8h9f9h8h11h6, w
j10i9i10g10h9l10k12j11g8j8e6f7g11k9m11i7h6k7l6k8k6k10k11m8l9l8i8n8, w
j10i9h10k9i10g10h9k12k10l10h6i7h7h8g9j9g8f7f9e10i6j5e9d9f8g7i11j12e7, b
j10i9k9m7h12i11i12h10k7j8j12g12k12l12j11j13k10l9k11k13k8, b
j10i9i10l10h10g10j9j12j8j7l7k8h9l9m10h12k12j11h7h8k10i8j13l11l12k11i11i13h14m9, w
j10i9h10h9g10i10g8i11i12h11j9j11k11g9f9k12l13g11f11i6f10f8e10d10d11c12h7, b
j10i9j8i8j9j7i11j11i7k9g10k8k6l9m10k10i12k11k12k7, w
j10i9j8j7j9i8g10i10i7j11g8i12i11k9g9g7g11g12f8h10e8d8f9d7f10h8f11f12f7, b
j10i9i10h10f12j9g9k7j8i7k9k10h7h12m7l8i8h8k5l6h9i5j6m5j7g10j5j4g8j11i6f9k4, b
j10i9j9j12i10k10j11h10j8j7i11h11h8g8k8h12h13i13m6l7l8i8m8n8m7k9m9m10m5, b
j10i9j8k9l9j11i10j9k10l10h9g10m11h11g8e8f9f7h7e10h8h6i8f8k8, b
j10i9k9j8i11l8k7h12j12j11h10k13k10i10k8k11k6, b
j10i9j8i8i7j9k9l10k10i10l7k7i11l8h11k11m9l9f11g11h12g13h6g5h13h14g12i14d9e10j12i12h10h9k13l14g9, b
j10i9j9i10i11j11k9l8i8k12l13l11n9g8h9g10h7g6l9m9j6g7g9h10h12g13j8j7i7h8l10m11h6, b
j10i9i10g10l10k10j9j8k8h11j11g11h10f11e11f9e8j13i12h9i8g9e9g12g13g8, w
j10i9i10j9k10l10l9g10g9j11k11k7k9k12i11h12i12l8j6j8l6h10g11i8k8h9h11f11e12j7, w
j10i9i10l10j8j12j9j7l7k8l9g10g12i8h9k12i12g8k10j11m12g9g7i11h10k11i13h11g11l11, w
j10i9k9h12h10l8j12i10i7g9j9j11j8h6m9l10j7j6l9n9k7h7k8k10m10n11i6, b
j10i9j8j9k9h6l10m11l8m7i11h12k8i8k10i10k11k12k7, b
j10i9i10j9h9f7h10k10g10f10h12h11i11k9g13f14k12j11j12g12k13l14g9, b
j10i9j9j11i11h12j8i8i7l10j6j7g10k6l5i10g8g9k9m7k12k5k8k4k3l7k7i4j5j4l4l6n8i3, w
j10i9k9h12j8i11i7h6l10m11j7j9l7k7l9l8m10k10k8n11i6, b
j10i9i10g10k10l10h9f7j11k12j8j9j13m8j12j14l9i12k8m10h8i8h6h7k9k7i7g5j6k5g9f10i11h10h12g13l8, b
j10i9h10k9h9j9k10i10l9k8h11h12l7m8i11l8n8j12k11j11i12i8j8h7f9g10j13i7i6g6f5j7g7g11e9d9f7f8i13k6k14l15k13l13i14i15k12, b
j10i9i10h10j9l7j8j11h11g12j5g11g13j7f12g8i7g5h12i11m11g9g10j12k13f8, w
j10i9k9j8h10l8i10k10g10f10h12i8k8h11i11g13j12k13g9f8g12i12j11j13g8g11h9k12f7, b
j10i9k9m7i11h12k7k8m9l9l8n10i5j6j7l7m10j9i10h9h10g10m11m12l10k10n12o13j8, b
j10i9h10i10i11k9h9i8h11h8h12h13g13f14j11k11j12g9j13j14j9, b
j10i9j8k9j9j7k10i8j11j12i10l10g10h10g8h9h11g12i12l9j13k14f9, b
j10i9k9j8i11h12k7k8g11l8m8h11h8l9m10h10h13l11l10k10j9j13i12m11i14i13g12f11g14g13f15e16j11, b
j10i9h10j9k9k10h7f9h9h8h12i11h13h11i12f11g11j11l11f12f10e9i13j14k12j12j13m10g13f13k13, b
j10i9k9h12i11h10h11m7j8j11i7l10g5h6i5k5h5f5i6i4k8j7k7k10l8j6i8h8m8, b
j10i9i10h10g11j9k9h12h9j8l8m7g8f7k10k12l6i12j12j6m10l10k8k7l7l5j7l9g10i8g9g12g7, b
j10i9i10k10j11k12j13j12i12j9k9i11h10g10h9k13k14l15h11h12m12g8l13j15m15g12n11o10h7h8m14m13n14l14p12o13n12o12n13n15n10, b
j10i9k9m7k7h12k5m5m6k3k8k6k10k11i10l10j9l7h10g10j7j8h7i8i7g7h8h9j6g9l4, b
j10i9h10h9j9j11j7j8k10i10k12g8f7i8h8i11i12i7, w
j10i9k9j8l8m7k7k8m9n10i5j6n9l9j7i8i10i7h8h6l10k10j12k11j11j13h12i11k12i12l13m14h9, b
j10i9j8j9k9l10m7l8i11i7l7o7i8j7n8k8l9m9g9n10k7j12h12g13o9l6p10q11p12i13k11k10l11j11j13m10o10m13o11o12q9r8p9p11r9n9s9, b
j10i9k9m7j8m11i11h12i7h6j9j7m10j11k10l10k8k11k6k7l7i10m8l8n9o10j5, b
j10i9j9j8k7l8i8k10i7h7j11i6k4k6k8l7l6n9m8l11m10n11g8m11o11n10n12n7n8o9l12l9l10m9k9p9, w
j10i9j9j11i8h7k10j7i10h10k7k8m10l10h11l11l8k9m11m9l12i6h5j12k11j5k4f9g8j6j4f12g11l6k6g9i11h9e9h8h6f10i7f11f13f8, w
j10i9h10h9g10i10k9f9g9i11i12k12j11j13j8j9i7l10g5h6h8f10g8g11i8f8k8, b
j10i9j9j12j7j8k7m7h7i7k9k10h12i11i10k8m9h8i8g9f10h10k13f8, w
j10i9j8j9l9k8m6k9k7k10l7h9g9k12k11i8l11i10i11j11l13g8, w
j10i9h10k9j9j12i10k10g10f10j7j8h9i8h11h8g12f13k8, b
j10i9k9i11h10k10j11j8i10h9j9g10h11g12k8l7l9e12f11g9g11e9f9e11e10d12f12f10c13h8, w
j10i9j8j7j9i7i8h8l7g7h7g6g9f6e5g4g5i6h6h5k8f3, w
j10i9k9j8l6k7m7l8j6k5n8h10g11k6k4i8k8j7h9i7i6h7g7l7, w
j10i9k9l8j8i11i7h6l10m11j7j9k7h7k10m10k8k11k6, b
j10i9i10k10h10k9g10f10k11j9l9h9g9g6g11g12j12i11g8g7h7l10e10f9f12m11j8n12o13f7f8m12l11m10m13n10o10l12o12k13j14o9, w
j10i9k9l8i7k7j8h6j9j11j6j7l10m11h8k5f10g9i8g8k10i10l11m12h7, b
j10i9i10h10g11j8k9h12i11k7l6h9h11f11k11j11l8m7k10k12l10m10m9j12l9l7n9j9o9, b
